id,createdAt,status,severity,action,actorType,actorId,actorName,entityType,entityId,entityName,summary,metadata
"cmrca3y0k0003pv8cnef59abw","2026-07-08T16:15:07.508Z","success","info","audit.seed_demo","api","manual","Manual API","system","audit","Audit Log Engine","Audit demo events were seeded","{""seed"":true}"
"cmrca3y0k0002pv8cthoiq8lq","2026-07-08T16:15:07.480Z","success","info","notification.channel.created","user","demo-user","Demo User","notification_channel","demo-channel","Demo Webhook","Demo notification channel was created",
"cmrca3xzs0001pv8cgyxvmthl","2026-07-08T16:15:07.480Z","failure","warning","notification.delivery.failed","system","notification-worker","Notification Worker","notification_delivery","demo-delivery","Demo Delivery","Demo notification delivery failed","{""error"":""Demo webhook timeout""}"
"cmrca3n2o0000pv8cxqpgo1x7","2026-07-08T16:14:53.287Z","success","info","notification.defaults.seeded","api","notification-api","Notification API","system","notification-engine","Notification Engine","Notification defaults were seeded","{""ruleId"":""rule_1783527292936_ypfcu638"",""channelId"":""channel_1783527292936_yccxcmm5""}"
"cmrc5vmug000hpvgshgc4te43","2026-07-08T14:16:41.320Z","success","info","notification.defaults.seed_skipped","api","notification-api","Notification API","system","notification-engine","Notification Engine","Notification defaults already exist, seed skipped","{""rules"":1,""channels"":1}"
"cmrc5vmgd000gpvgsn3l9gp8n","2026-07-08T14:16:40.813Z","success","info","manual.audit.smoke_test","api","audit-smoke-test","Audit Smoke Test","system","audit","Audit Log Engine","Manual audit event from audit-log-smoke.ps1","{""smokeTest"":true,""generatedBy"":""PowerShell""}"
"cmrc5vmcd000fpvgs9hj5r8gb","2026-07-08T14:16:40.669Z","success","info","audit.seed_demo","api","manual","Manual API","system","audit","Audit Log Engine","Audit demo events were seeded","{""seed"":true}"
"cmrc5vm59000dpvgsdgo11fhp","2026-07-08T14:16:40.412Z","failure","warning","notification.delivery.failed","system","notification-worker","Notification Worker","notification_delivery","demo-delivery","Demo Delivery","Demo notification delivery failed","{""error"":""Demo webhook timeout""}"
"cmrc5vm5a000epvgsf1zxscvg","2026-07-08T14:16:40.412Z","success","info","notification.channel.created","user","demo-user","Demo User","notification_channel","demo-channel","Demo Webhook","Demo notification channel was created",
"cmrc5v67a000cpvgsbuq3b36z","2026-07-08T14:16:19.750Z","success","info","job.completed","system","system","System","job","d9e71a5a-f7ea-4fb3-9c01-c46250f06f61",,"job.completed",
"cmrc5v675000bpvgsbucgrg7o","2026-07-08T14:16:19.744Z","success","info","schedule.triggered","system","system","System","schedule","core-heartbeat",,"schedule.triggered",
"cmrc5v673000apvgshli9r0rf","2026-07-08T14:16:19.744Z","success","info","job.started","system","system","System","job","d9e71a5a-f7ea-4fb3-9c01-c46250f06f61",,"job.started",
